"","year","month","fleet","sex","part","Nsamp","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
"1",1985,7,1,1,1,85,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0
"2",1985,7,1,2,1,80,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0
"3",1986,7,1,1,1,7,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.01,0.03,0.08,0.16,0.21,0.11,0.04,0.12,0.11,0.02,0.01,0,0
"4",1986,7,1,2,1,5,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.03,0.04,0.31,0.41,0.07,0.05,0.01,0,0,0,0,0,0
"5",1987,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.01,0.03,0.07,0.16,0.2,0.1,0.04,0.11,0.1,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.01,0.03,0.07,0.16,0.2,0.1,0.04,0.11,0.1,0.02,0.01,0,0
"6",1987,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0.06,0.03,0.03,0.04,0.03,0.3,0.39,0.07,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0.03,0.04,0.03,0.3,0.39,0.07,0.05,0.01,0,0,0,0,0,0
"7",2004,7,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.14,0.08,0.24,0.11,0.05,0.06,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.14,0.08,0.24,0.11,0.05,0.06,0.04,0,0,0
"8",2005,7,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0.13,0.15,0.18,0.22,0.2,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0.13,0.15,0.18,0.22,0.2,0.02,0.01,0,0,0
"9",2006,7,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.61,0.07,0.04,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.61,0.07,0.04,0,0.07,0,0,0,0
"10",2007,7,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.03,0.2,0.52,0.17,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.03,0.2,0.52,0.17,0,0.02,0,0,0
"11",2008,7,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0.09,0.11,0.05,0.11,0.05,0.15,0.18,0.13,0.05,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.11,0.05,0.11,0.05,0.15,0.18,0.13,0.05,0.04,0.02,0.01,0,0
"12",2009,7,1,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0.3,0.23,0.2,0.13,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.09,0.3,0.23,0.2,0.13,0.04,0.01,0,0,0
"13",2010,7,1,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.14,0.09,0.29,0.34,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.14,0.09,0.29,0.34,0.04,0.03,0,0
"14",2011,7,1,0,1,14,0,0,0,0,0,0,0,0,0.03,0.24,0.17,0.15,0.04,0.03,0,0.01,0.01,0,0.13,0.1,0.01,0.07,0,0,0,0,0,0,0,0,0,0,0,0.03,0.24,0.17,0.15,0.04,0.03,0,0.01,0.01,0,0.13,0.1,0.01,0.07,0,0,0
"15",2012,7,1,0,1,4,0,0,0,0,0,0.53,0,0,0.08,0,0.23,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0.08,0,0.23,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0
"16",2013,7,1,0,1,21,0,0,0,0,0,0,0,0.01,0.04,0.05,0.47,0.25,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.05,0.47,0.25,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0
"17",2014,7,1,0,1,23,0,0,0,0,0,0.03,0.04,0,0.06,0.05,0.17,0.2,0.14,0.08,0.16,0.01,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0.06,0.05,0.17,0.2,0.14,0.08,0.16,0.01,0.04,0.02,0.01,0,0,0,0,0,0
"18",2015,7,1,0,1,4,0,0,0,0,0,0,0,0,0,0.03,0.39,0.19,0.38,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.39,0.19,0.38,0,0.02,0,0,0,0,0,0,0,0,0,0
"19",2016,7,1,0,1,14,0,0,0,0,0,0,0,0.03,0.06,0.03,0.13,0.16,0.31,0,0.06,0.03,0.13,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0.03,0.13,0.16,0.31,0,0.06,0.03,0.13,0.06,0,0,0,0,0,0,0
"20",2017,7,1,0,1,7,0,0,0,0,0,0,0.02,0,0.01,0.4,0.47,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.4,0.47,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,7,5,0,1,1,0,0,0,0,0,0.17,0.67,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.67,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2005,7,5,0,1,3,0,0,0,0,0,0.1,0.58,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.58,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2006,7,5,0,1,5,0,0,0,0,0.02,0.12,0.27,0.25,0.2,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.12,0.27,0.25,0.2,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2007,7,5,0,1,13,0,0,0,0,0.07,0.04,0.11,0.25,0.34,0.11,0.01,0,0,0,0,0.01,0,0,0,0.01,0.02,0.02,0.01,0,0,0,0,0,0,0.07,0.04,0.11,0.25,0.34,0.11,0.01,0,0,0,0,0.01,0,0,0,0.01,0.02,0.02,0.01,0,0
"25",2008,7,5,0,1,2,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.29,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.29,0,0.57,0,0,0,0,0
"26",2009,7,5,0,1,1,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2011,7,5,0,1,3,0,0,0,0,0,0,0.17,0.17,0.33,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.33,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2012,7,5,0,1,4,0,0,0,0.07,0,0,0.07,0.52,0.19,0.07,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0.52,0.19,0.07,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2013,7,5,0,1,4,0,0,0,0,0,0.18,0.36,0,0.18,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.36,0,0.18,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2014,7,5,0,1,5,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2015,7,5,0,1,4,0,0,0,0,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0.23,0.2,0.4,0,0,0,0,0.03,0.03,0,0,0,0,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0.23,0.2,0.4,0,0,0,0,0.03,0.03
"32",2016,7,5,0,1,11,0,0,0,0,0,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.16,0.04,0.07,0.09,0.41,0.07,0.1,0,0,0,0,0,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.16,0.04,0.07,0.09,0.41,0.07,0.1
"33",2017,7,5,0,1,19,0,0,0,0.01,0,0.04,0.17,0.18,0.15,0.13,0.06,0,0,0,0,0,0,0,0.05,0.08,0,0.08,0.03,0.03,0,0,0,0,0.01,0,0.04,0.17,0.18,0.15,0.13,0.06,0,0,0,0,0,0,0,0.05,0.08,0,0.08,0.03,0.03,0
"34",2018,7,1,0,1,5,0,0,0,0,0,0,0,0.143,0,0,0,0.714,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0.714,0,0.143,0,0,0,0,0,0,0,0,0,0,0
"35",2018,7,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.071,0.038,0.163,0.292,0.088,0.088,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.071,0.038,0.163,0.292,0.088,0.088,0.224,0,0,0
"36",2019,7,1,0,1,17,0,0,0,0,0,0,0,0.002,0.193,0.733,0.039,0.016,0.003,0.001,0.011,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.193,0.733,0.039,0.016,0.003,0.001,0.011,0,0.001,0,0,0,0,0,0,0,0
"37",2019,7,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.375,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.375,0.125,0.125,0,0,0,0
"38",2020,7,1,0,1,19,0,0,0,0,0,0,0.004,0,0,0.083,0.14,0.272,0.204,0.09,0.068,0.043,0.048,0.043,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.083,0.14,0.272,0.204,0.09,0.068,0.043,0.048,0.043,0,0.004,0,0,0,0,0
"39",2021,7,1,0,1,19,0,0,0,0,0,0,0.056,0,0.083,0.04,0.04,0.255,0.179,0.099,0,0.079,0.109,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0.083,0.04,0.04,0.255,0.179,0.099,0,0.079,0.109,0.06,0,0,0,0,0,0,0
"40",2022,7,1,0,1,16,0,0,0,0,0,0,0,0.077,0,0.038,0.135,0.188,0.223,0.146,0,0.019,0.115,0.038,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0.038,0.135,0.188,0.223,0.146,0,0.019,0.115,0.038,0,0.019,0,0,0,0,0
"41",2022,7,5,0,1,7,0,0,0,0,0,0.125,0,0,0.125,0.25,0.125,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0.25,0.125,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"42",2023,7,1,0,1,24,0,0,0,0,0,0,0.011,0.011,0,0.11,0.154,0.198,0.22,0.033,0.044,0.143,0.066,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0.11,0.154,0.198,0.22,0.033,0.044,0.143,0.066,0.011,0,0,0,0,0,0,0
"43",2023,7,5,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
