Year,2000 assessment ,2003 assessment,2005 assessment ,2007 assessment,2009 assessment,2011 assessment,2015 assessment,2019 assessment
1916,,,,,40547.2,71126.5,80679.9,87915.4
1917,,,,,40527.8,71082.2,80633.2,87860.5
1918,,,,,40498.1,71015,80565.1,87783.2
1919,,,,,40465.2,70940.7,80491.1,87698.8
1920,,,,,40445,70895.1,80445.2,87641.4
1921,,,,,40426,70852.3,80401.7,87585.2
1922,,,,,40412.9,70822.9,80370.6,87540.1
1923,,,,,40404,70802.8,80347.4,87501.8
1924,,,,,40394.3,70781.4,80321.5,87459.5
1925,,,,,40392.3,70777.9,80311.2,87431.6
1926,,,,,40387.5,70768.9,80293.5,87395
1927,,,,,40374.6,70742.7,80257.3,87338.3
1928,,,,,40366,70727.1,80228.9,87288
1929,,,,,40354.8,70706,80193.4,87228.9
1930,,,,,40344.7,70687.2,80157.8,87167.9
1931,,,,,40328.5,70655.4,80106.8,87089.4
1932,,,,,40316,70632.2,80060.8,87013.8
1933,,,,,40303.9,70610.6,80012.3,86933.4
1934,,,,,40296,70598.3,79968.2,86855
1935,,,,,40287.2,70584.3,79917.3,86767.1
1936,,,,,40277.2,70567.5,79857.4,86667.5
1937,,,,,40264.8,70544.5,79785,86552.5
1938,,,,,40254.6,70525.8,79709.9,86431.6
1939,,,,,40249.1,70520.2,79637.6,86310.4
1940,,,,,40246.5,70520,79559.7,86180.2
1941,,,,,40241.3,70478.2,79446.6,86011.1
1942,,,,,40238.6,70424.7,79317.1,85821.9
1943,,,,,40244.7,70345.4,79165.5,85606.4
1944,,,,,40226.3,69957.2,78812.6,85183.8
1945,,,,,40156.3,69202.8,78201.2,84494.8
1946,,,,,40005.6,67944.4,77244.9,83450.4
1947,,,,,39886.4,67170.7,76581.3,82691
1948,,,,,39848.8,66865.2,76222.2,82231.2
1949,,,,,39823.4,66753.7,75949.1,81853.8
1950,,,,,39817.7,66730.7,75714.3,81513
1951,,,,,39806.8,66687.8,75423.5,81115.2
1952,,,,,39760.8,66572.3,75029.2,80613.6
1953,,,,,39720.8,66334.6,74613.5,80091.9
1954,,,,,39690.6,65892.2,74211,79586.1
1955,,,,,39677.7,65067.6,73797,79072.7
1956,,,,,39661.8,63905,73358,78539.1
1957,,,,,39611.5,62515.5,72842.8,77934.8
1958,,102199,112557,119006,39557.2,61032.9,72262.8,77270.6
1959,,102256,112605,119023,39487.4,59769.6,71770.4,76699.5
1960,,102502,112810,119097,39445.5,58781.1,71381,76235.4
1961,,103008,113245,119252,39415,58006.2,71037.5,75817.3
1962,,103779,113913,119483,39402.1,57749.3,70925.8,75627.1
1963,,104767,114767,119766,39379.8,57802.6,70938.3,75551.9
1964,,105804,115613,120023,39342.1,58471.7,71279.1,75796.5
1965,,106795,116318,120198,39303.1,59043.9,71615,76033.6
1966,,107526,116668,120204,39364.5,59930.4,72154.3,76489.7
1967,,105758,114581,117920,38546.7,58401.6,70425.1,74660.5
1968,79164,103517,111871,115239,37603.4,56486.3,68511.5,72689.4
1969,79216,102483,110524,113944,37324.7,56478.1,68102.1,72300.4
1970,79340,103219,110755,114140,37598.2,57836.7,68672.5,72951.3
1971,79935,104283,111610,114905,38032.9,59630.3,69344.7,73712.6
1972,81064,105953,113225,116329,38587.7,61696.6,69966,74392.4
1973,83346,108494,115804,118737,39327,64503.3,71079.8,75818.3
1974,86295,110677,118443,121270,40102.3,67314.5,73084.9,78118.4
1975,91792,115070,122871,125645,41161.7,71891.7,76976.4,81830.8
1976,97919,119094,127278,130035,42648.2,78168.2,82642.6,86736.5
1977,102340,120479,129633,132416,44431.6,85234.8,88215.4,91135.7
1978,103510,118712,129096,131923,45292.3,90150.3,91905.1,93795.1
1979,101550,113852,125712,128581,45072.9,91555.1,92297.3,93593.3
1980,97283,106614,119518,122405,43609.5,86939,86309.7,87635.8
1981,81962,88927,102378,105278,37174.2,73219.9,73064.2,74936.7
1982,65700,70995,83887,86732,29777.9,57223.8,57897.1,60312.9
1983,52717,56512,68401,71221,22991.1,43207.8,45665.3,48492.9
1984,49035,53990,64412,67197,20928.9,40132.3,43126,46209.4
1985,48076,53514,63490,66185,19978.1,39206.7,42633.5,45491.1
1986,47341,53840,64592,67421,19617.5,39870.8,43349.1,45785.8
1987,46872,54543,66833,69818,20018.5,41065.3,44067.8,46076.9
1988,44019,53297,66979,70119,20247.6,40482.1,42699.1,44253.1
1989,40928,51429,66048,69371,20287.8,39852.5,41799.2,43056.4
1990,35356,46808,61694,65108,19194.4,36407,38959.1,40221.8
1991,31578,43036,57451,60851,18185.2,33343,36006.2,37330.7
1992,30582,41335,54980,58084,17627.4,31908.1,35141.9,36515.5
1993,29749,39290,52088,54928,16798.5,30207.3,34248.4,35689.3
1994,27791,35993,47939,50630,15457.7,27255.3,31959.6,33545.2
1995,26908,34015,45414,47835,14507.3,25465.3,31042.8,32743.3
1996,25516,32090,43681,45917,13597.4,23851.1,30275.7,32105
1997,24530,31178,43489,45600,13266,23144.8,30325.5,32225.4
1998,23269,30036,43083,45148,13103.7,22362.8,30082.4,31930.7
1999,23077,29594,42851,44774,13149.1,22545.4,30330.5,32117.5
2000,,27999,41348,43209,12852.1,22270.4,30274.3,31985.6
2001,,26086,39119,40888,12294.4,21732,30245.4,31919.9
2002,,25125,37789,39419,11999.6,22074.2,30977.6,32771.9
2003,,,37847,39194,12024.3,23491.2,32618.2,34696.5
2004,,,39032,40131,12259,25651.5,34769.5,37273
2005,,,,43017,12735.3,28441.1,37080.4,40129
2006,,,,47478,13402.7,31178,39163.8,42798.3
2007,,,,,14170.9,33349.5,40824.5,45184.7
2008,,,,,14908,34727.5,42030.7,47063.8
2009,,,,,,35544.6,43109.9,48958.4
2010,,,,,,36062.7,44279.9,50863.9
2011,,,,,,,45812.7,53402.9
2012,,,,,,,47912.4,56191.7
2013,,,,,,,51214.7,60046.7
2014,,,,,,,55668.6,64420.7
2015,,,,,,,,68546.6
2016,,,,,,,,72781.8
2017,,,,,,,,76823.6
2018,,,,,,,,79032