log(R0),R0 10.4,R0 10.2,R0 10,R0 9.8,R0 10.6,R0 10.8,R0 11,R0 11.2,R0 11.4
M (females),0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.15,0.16
Lmin (females),20.62,20.63,20.64,20.65,20.66,20.67,20.69,20.70,20.72
Lmax (females),49.38,49.44,49.48,49.52,49.55,49.58,49.61,49.63,49.65
k (females),0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
CV old (females),0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11
CV young (females),0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
M (males),0.11,0.12,0.13,0.14,0.14,0.15,0.16,0.17,0.17
Lmin (males),21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04
Lmax (males),43.70,43.68,43.66,43.64,43.62,43.60,43.58,43.57,43.56
k (males),0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25
CV old (males),0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
CV young (males),0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
lnR0,9.80,10.00,10.20,10.40,10.60,10.80,11.00,11.20,11.40
SB0,73122,73888,76459,80765,86546,93669,102177,112272,124362
SB final year,15300,21502,29330,38706,49437,61336,74315,88412,103905
Depletion Final Year (%),0.21,0.29,0.38,0.48,0.57,0.65,0.73,0.79,0.84
Yield SPR 50,3820.98,4270.68,4820.63,5489.86,6290.92,7239.32,8358.03,9679.25,11249.10
h (steepness),0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood,difference from base model likelihood
Total,7674.73,7668.61,7665.58,7664.52,7664.94,7666.59,7669.28,7672.8,7676.92
Survey,15.4531,14.2187,13.4387,13.0554,13.0009,13.2228,13.701,14.4632,15.3798
Discard,5411.74,5411.35,5411.05,5410.83,5410.69,5410.63,5410.67,5410.79,5410.94
Length,852.42,853.706,854.48,854.914,855.129,855.201,855.177,855.092,854.968
Age,1361.89,1362.68,1364.13,1365.92,1367.91,1370.03,1372.26,1374.56,1376.85
Recruitment,32.2007,25.6514,21.2814,18.2805,16.2748,15.0651,14.5079,14.4752,14.8684
Forecast Rec,0.931242,0.794112,0.688606,0.611943,0.559064,0.524661,0.504247,0.494571,0.493073
Priors,0.0871177,0.204037,0.498466,0.900147,1.37351,1.89993,2.44272,2.92231,3.40773
Parameter,0,0,0,0,0,0,0,0,0