"Year","CA_Bottom-Trawl","OR_Bottom-Trawl","WA_Bottom-Trawl","CA_Midwater-Trawl","OR_Midwater-Trawl","WA_Midwater-Trawl","CA_Net","WA_Net","CA_Hook-and-Line","OR_Hook-and-Line","WA_Hook-and-Line"
1916,6.2,0,0,0,0,0,0,0,71.8,0.3,0
1917,9.6,0,0,0,0,0,0,0,111.9,0.3,0
1918,11.2,0,0,0,0,0,0,0,128.5,0.3,0
1919,7.8,0,0,0,0,0,0,0,88.6,0.3,0
1920,8,0,0,0,0,0,0,0,90.7,0.4,0
1921,6.6,0,0,0,0,0,0,0,75.1,0.4,0
1922,5.7,0,0,0,0,0,0,0,65.2,0.4,0
1923,6.1,0,0,0,0,0,0,0,71.7,0.4,0
1924,3.6,0,0,0,0,0,0,0,46.2,0.4,0
1925,3.1,0,0,0,0,0,0,0,58.7,0.4,0
1926,8.7,0,0,0,0,0,0,0,85.5,0.4,0
1927,11.7,0,0,0,0,0,0,0,66.4,0.5,0
1928,16.6,0,0,0,0,0,0,0,72,0.8,0
1929,23.4,0,0,0,0,0,0,0,62.1,1.3,0
1930,20.8,0,0,0,0,0,0,0,90.4,1.2,0
1931,20.4,0,0,0,0,0,0,0,78.6,0.9,0
1932,21.7,0.4,0,0,0,0,0,0,77.7,0.3,0
1933,34.3,0.2,0,0,0,0,0,0,50.9,0.5,0
1934,30.7,0,0,0,0,0,0,0,59.7,0.5,0
1935,28.9,0.2,0.7,0,0,0,0,0,67.9,0.5,0
1936,23.4,0.7,1.1,0,0,0,0,0,84.3,1.2,0
1937,33.6,1.3,0.9,0,0,0,0,0,66.3,1.3,0
1938,32.2,0,1.1,0,0,0,0,0,49.6,1,0
1939,38.8,1.9,1,0,0,0,0,0,34.2,0.7,0
1940,30.6,43.7,1,0,0,0,0,0,43.9,1.5,0
1941,24.8,67.3,1.4,0,0,0,0,0,34.1,1.9,0
1942,5.4,126.1,1.8,0,0,0,0,0,10.2,3.1,0
1943,28.3,439.2,1.2,0,0,0,0,0,18,3.9,0
1944,148.6,770.7,2,0,0,0,0,0,38,1.4,0
1945,353.4,1196.6,3.4,0,0,0,0,0,66.8,1.1,0
1946,353.2,735,0.8,0,0,0,0,0,69.7,1.3,0
1947,98.1,452.8,0.2,0,0,0,0,0,91.3,0.7,0
1948,139.4,297.3,0.1,0,0,0,0,0,39.6,1.2,0
1949,75.1,254.7,0,0,0,0,0,0,43.9,0.6,0
1950,70.9,286.8,1.8,0,0,0,0,0,63.4,0.8,0
1951,249.4,252.9,2,0,0,0,0,0,49.1,0.6,0
1952,236.6,264.2,0.2,0,0,0,0,0,39.9,0.6,0
1953,242.6,211.5,1.2,0,0,0,0,0,13.7,0.3,0
1954,155.8,267.3,3.1,0,0,0,0,0,21.3,0.4,0
1955,166.3,277.5,2.5,0,0,0,0,0,18.2,0.4,0
1956,196.8,361.3,0.7,0,0,0,0,0,41.8,0.3,0
1957,233.1,489.5,0.1,0,0,0,0,0,37.4,0.6,0
1958,284.3,380.4,0.2,0,0,0,0,0,36.6,0.1,0
1959,229.9,412.8,0.1,0,0,0,0,0,28.6,0.2,0
1960,180,608.6,0.2,0,0,0,0,0,21.9,0.2,0
1961,118.4,543.1,0.2,0,0,0,0,0,15,0.5,0
1962,115.9,623.8,2,0,0,0,0,0,15.4,0.4,0
1963,221.2,190.2,2.1,0,0,0,0,0,19.6,0.4,0
1964,104.1,480.9,3.2,0,0,0,0,0,13,0.1,0
1965,155.9,80.6,2.2,0,0,0,0,0,20.2,0.6,0
1966,123,455.8,0.6,0,0,0,0,0,37.4,0.4,0
1967,141.9,743.9,0.6,0,0,0,0,0,31.9,1.1,0
1968,155,240.6,16.7,0,0,0,0,0,19,1,0
1969,223.5,229.3,16.7,0,0,0,0,0,17.6,2.3,0
1970,257.3,27.7,3,0,0,0,0,0,9,0.9,0
1971,316.2,50.6,11.7,0,0,0,0,0,10.2,1.8,0
1972,411.9,51.8,14.1,0,0,0,0,0,17.8,2.3,0
1973,428.1,20.9,32.4,0,0,0,0,0,15.8,2.5,0
1974,426.4,7.3,6.5,0,0,0,0,0,41.3,3.1,0
1975,429.9,9,12,0,0,0,0,0,28.4,1.6,0
1976,467.3,56,36.2,0,0,0,0,0,39.5,2.2,0
1977,459,340,125.8,0,0,0,0,0,38.1,2.6,0
1978,538.9,340.1,336.7,0,0,0,0,0,157.4,3.8,0
1979,916.9,519.4,305,1398.5,3746,2199.8,0,0,97.1,6.4,0
1980,2109.2,410.8,338.4,3217.2,8460.7,6969.4,0,3.4,55.9,3.7,0
1981,2660.2,1527.1,681.2,2627.4,13861.9,6183.5,15.5,3.2,67.5,4,0
1982,3656.7,782.8,522,7008.1,8184.4,5458,38.1,37.1,180.6,5.9,0
1983,3667.1,1403.6,1554.6,205.1,1495.6,1656.5,280,14.5,23.5,10.2,0
1984,1434.6,1428.5,381.8,1378.6,3982.8,1064.6,324.8,26.6,22.8,3.8,0
1985,1363,895.1,317.6,1281.6,3423.4,1214.6,585.8,40.2,26.1,1.1,0
1986,1640.4,1230.1,716.1,362.2,3150.5,1834.1,500.8,0,81.5,1.9,0
1987,2261.1,1185.5,698.4,0,5114.5,3013.1,584.6,0,52.4,2.7,0
1988,1585.3,1152.8,1290.3,0,4305.6,1785,220.7,0,72.3,1,0.2
1989,1838.3,2027.5,647.7,0,4957.7,2726.9,253.6,0.1,44.7,0.4,0
1990,1812.7,2289.3,1210.4,0,3352.8,1021.1,411.2,0,126.9,7.3,0.2
1991,996.4,1989.2,878.9,0,1779.9,260.2,234.8,0,89.7,5.2,0.3
1992,917.4,2709.5,646.5,0,1183.8,282.5,45.4,0,165.8,9.2,0.5
1993,1088.3,3457,1109.8,1.2,1706.8,547.9,51.6,0,63.7,44.7,0.5
1994,557.9,2600.7,644.1,210,1564.4,387.5,58.4,0,71.7,9.6,0.4
1995,1361.1,2386.7,339,292.7,1283.4,700.7,57.6,0,19,7.2,0.1
1996,1056.8,2292.1,237.9,238.8,998.2,609.4,16.1,0,21.6,11,0.1
1997,1032.5,2502.8,241.7,253.6,1453.1,735.8,16.4,0,22.4,15.6,0
1998,686.2,1641.1,188.4,81.6,493.4,307.8,48.7,0,62.4,24.1,0
1999,485,945,182.7,100.1,1634.2,315.9,10,0,29,14.7,0.1
2000,34.2,19.6,2.9,680.8,2604.8,379.4,6.8,0,11.9,2.5,0
2001,9.3,28.8,1,310.3,1092.4,287.1,7,0,6.4,0.7,0
2002,8.7,6,2.4,40,151.7,59.8,0,0,0.4,0.1,0
2003,3.1,0.3,0.2,0.4,0,9.3,0.4,0,0.3,0.6,0
2004,5.9,2.4,0.1,7.5,0,21.3,0,0,0.2,0.1,0
2005,2.7,0.2,0.2,5.2,0,27.6,0.1,0,0.4,0.8,0.1
2006,3.8,2,0.3,3.6,0,9.3,0,0,0.8,0,0
2007,2.7,1.8,0.3,1,0,0.5,2.9,0,1.6,0.3,0
2008,0.2,1.7,0.2,29.2,0,12.9,0,0,1.2,0,0
2009,1.9,2.1,0.2,2.3,0,34.1,0.2,0,0.4,0,0
2010,1.2,2.9,0.7,9,0,45.7,0,0,0,0.1,0
2011,1.1,10,7.2,0,12.4,31.5,0,0,0,0,0
2012,2.3,27,12,0,5.9,41.5,0,0,0.2,0.1,0
2013,4.8,44,2.4,0,204.5,36.6,0,0,0.9,0.1,0
2014,2.7,46.1,22.5,0,259.7,46.9,0,0,1.7,0.1,0
2015,1.8,10.4,0,0,386.7,92.5,0,0,1.6,0.4,0
2016,0.4,8.4,0.8,0,574.5,13.5,0,0,0.7,0,0
2017,1,34.3,0.6,51.9,4770.3,29.9,0,0,2.3,0.3,0.1
2018,21.4,14.5,0.1,215.9,7605.9,1552.4,0,0,1.5,0,0
2019,10.3,17.6,0,142.6,6752.5,1262.8,0,0,2.1,0,0
2020,8.7,64.9,0,84.8,5834.1,1613.3,0,0,2.3,0.2,0.3
2021,20.1,83.4,0.2,169.3,8395.5,1576.5,0,0,4.2,0,0.4
2022,60,66.8,0,499.1,8794.5,1546.2,0,0,8.4,0,0.3
2023,35.5,46.8,0,493.4,8108.4,1626.3,0,0,6.1,1,0
2024,16,11.6,0,0,7449.8,1711,0,0,11.9,0.9,0.1
